Car Information
2012 쉐보레 쉐보레 코드 130R
2012 캐딜락 XTS
2012 아우디 Q3(1세대)
2013 푸조 208(1세대)
2013 캐딜락 ATS
2012 마세라티 쿠방
2012 아큐라 NSX
2012 지프 그랜드 체로키(4세대)
2012 BMW 6시리즈(3세대)
2012 BMW i8
2012 포드 쉘비 머스탱(2세대)
2012 마쯔다 MX-5
2012 벤츠 SLS AMG
2012 스바루 BRZ
2012 애스턴마틴 DBS
2012 토요타 아쿠아
2012 재규어 C-X16
2012 렉서스 LFA
2012 렉서스 GS(4세대)
2012 애스턴마틴 ONE-77
2012 사이언 xB
2012 토요타 프리우스(3세대)
2012 폭스바겐 업
2012 폭스바겐 폴로(5세대)
2012 폭스바겐 티구안(1세대)
2011 알파로메오 159
2012 미니 미니 쿠페
2011 알파로메오 줄리에타
2012 BMW 3시리즈(6세대)
2012 아우디 A1
2011 알파로메오 미토
2011 BMW X5(2세대)
2011 쉐보레 콜벳
2011 파가니 존다
2012 람보르기니 아벤타도르
2011 크라이슬러 200(1세대)
2011 시트로엥 DS3
2011 쉐보레 볼트
2012 폭스바겐 비틀(3세대)
2011 부가티 베이론
2011 피아트 500
2011 시트로엥 C5(2세대)
2011 폭스바겐 시로코(3세대)
2010 기아 씨드
2011 BMW X3(2세대)
2011 미니 미니 컨트리맨(1세대)
2011 BMW 6시리즈(3세대)
2012 벤츠 SLK클래스(3세대)
2011 스바루 임프레자(3세대)
2011 시트로엥 C4 피카소(1세대)
2010 현대 i10
2009 닛산 큐브(3세대)
2008 토요타 캠리(6세대)
2009 포르쉐 파나메라(1세대)
2008 아우디 A5(1세대)
2009 BMW Z4(2세대)
2008 기아 쏘울
2009 페라리 F430
2008 마쯔다 마쯔다6
2008 아우디 S5(1세대)
2008 세아트 알테아
2008 포드 S-맥스(1세대)
2008 포드 포커스(2세대)
2008 포드 몬데오(4세대)
2008 아우디 Q5(1세대)
2008 폭스바겐 폴로(4세대)
2008 마쯔다 비안테
2008 스바루 레거시(4세대)
2008 아우디 A3(2세대)
2008 포드 갤럭시
2008 아우디 S3(2세대)
2008 알파로메오 미토
2007 피아트 500
1992 알파로메오 RZ
1954 알파로메오 줄리에타
2008 닛산 캐시카이(1세대)
2008 BMW 1시리즈(1세대)
2008 폰티악 G8
2008 현대 제네시스 쿠페
2009 벤츠 M클래스(2세대)
2008 이스즈 아센더
2008 아우디 RS4(2세대)
2009 아우디 A4(4세대)
2008 폰티악 솔스티스
2007 홀덴 아스트라
2007 홀덴 캡티바
2008 아우디 A8(2세대)
2007 홀덴 바리나
2008 Chevrolet 아베오
2007 홀덴 에피카
2007 홀덴 스테이츠맨
2007 람보르기니 레벤톤
2008 폭스바겐 티구안(1세대)
2007 애스턴마틴 뱅퀴시(1세대)
2008 폭스바겐 투아렉(1세대)
2004 폭스바겐 골프(5세대)
2007 로터스 2 일레븐
2006 혼다 시빅(8세대)
2007 로터스 서킷카
2008 파가니 존다
2007 스마트 포투(2세대)
2008 허머 HX Concept
2008 포드 이스케이프(2세대)
2005 어울림 스피라
2008 랜드로버 LRX
2008 사브 9-4X
2007 부가티 베이론
2008 마세라티 콰트로포르테(5세대)
2008 혼다 FCX
2008 닛산 GT-R
2008 푸조 RCZ
2008 벤츠 CL클래스(3세대)
2007 아큐라 TL
2008 포드 쉘비 머스탱(2세대)
2007 스코다 파비아
2007 아큐라 RL
2007 닛산 350Z
2007 스코다 수퍼브
2006 아큐라 RSX
2005 아큐라 NSX
2007 아큐라 TSX
2005 파가니 존다
2006 사이언 xB
2006 아큐라 MDX
2004 로터스 에스프리
2006 새턴 뷰
2006 사이언 xA
2008 새턴 스카이
2006 사이언 tC
2005 부가티 베이론
2007 마세라티 그란스포츠
2008 링컨 네비게이터(3세대)
2005 마세라티 3200 GT
2006 링컨 제퍼
2007 애스턴마틴 DBS
2006 애스턴마틴 밴티지
2006 포드 익스페디션
2007 코닉세그 CCR
2007 마세라티 MC12
2006 애스턴마틴 DB9
2008 링컨 마크 LT
2007 머큐리 몬테레이
2007 캐딜락 CTS(1세대)
2006 캐딜락 XLR
2006 벤츠 G클래스(1세대)
2006 포르쉐 박스터(2세대)
2007 캐딜락 STS
2006 벤츠 SLR 맥라렌
2007 벤츠 R클래스
2007 아우디 RS4(2세대)
2007 벤츠 GL클래스(1세대)
2007 Chevrolet 임팔라
2006 캐딜락 BLS
2007 Chevrolet 트레일블레이저
2005 Chevrolet 이쿼녹스
2006 Chevrolet 콜벳
2007 Chevrolet 서버번
2006 Chevrolet 몬테카를로
2007 Chevrolet 말리부
2006 Chevrolet HHR
2007 Chevrolet 타호
2005 뷰익 레이니어
2006 Chevrolet 아베오
2006 머큐리 밀란
2006 머큐리 마리너
2006 뷰익 랑데부
2008 뷰익 라크로스
2006 머큐리 몬테고
2006 Chevrolet 코발트
2006 머큐리 마운틴니어
2006 뷰익 테라자
2006 피아트 세디치
2003 알파로메오 147
2006 머큐리 그랜드 마퀴스
2007 알파로메오 156
2005 피아트 크로마
2007 알파로메오 159
2007 알파로메오 스파이더
2006 알파로메오 8C
2007 알파로메오 브레라
2006 피아트 그랜드 푼토
1998 토요타 수프라
2006 토요타 코롤라(9세대)
2007 랜드로버 디스커버리3
2006 토요타 매트릭스
2008 토요타 시에나(2세대)
2008 토요타 야리스
2007 토요타 세쿼이아
2007 랜드로버 레인지로버(3세대)
2006 토요타 캠리(5세대)
2007 토요타 아발론(3세대)
2006 시트로엥 C6
2007 토요타 FJ 크루져
2007 토요타 4러너
2008 토요타 랜드크루져
2006 시트로엥 C5(1세대)
2006 시트로엥 C4
2007 토요타 RAV4(3세대)
2006 시트로엥 사라 피카소
2006 시트로엥 C3
2004 시트로엥 사라
2007 르노 모뒤스
2006 르노 트래픽
2007 르노 캉구
2005 르노 에스파스
2006 시트로엥 C2
2003 르노 벨사티스
2007 르노 세닉
2006 시트로엥 베를링고
2007 르노 메간
2006 르노 라구나
2006 혼다 인사이트(1세대)
2006 혼다 릿지라인
2007 혼다 피트
2007 혼다 오딧세이(3세대)
2002 르노 클리오
2007 혼다 어코드(7세대)
2007 혼다 파일럿(1세대)
2006 혼다 엘리먼트
2007 혼다 시빅(8세대)
2006 혼다 S2000
2008 닛산 타이탄
2006 스즈키 레노
2007 닛산 퀘스트
2006 스즈키 XL-7
2006 스즈키 비타라
2006 스즈키 베로나
2007 닛산 패스파인더(3세대)
2007 닛산 프론티어
2006 스즈키 에어리오
2006 스즈키 포렌자
2007 허머 H2
2007 닛산 엑스테라
2008 닛산 맥시마(7세대)
2007 볼보 V70(2세대)
2007 허머 H3
2006 닛산 알마다
2007 닛산 무라노(1세대)
2006 볼보 C70(2세대)
2006 닛산 센트라
2006 닛산 알티마(3세대)
2007 폰티악 토런트
2007 폰티악 솔스티스
1996 허머 H1
2007 폰티악 그랑프리
2006 폰티악 바이브
2007 스바루 포레스터(3세대)
2006 스바루 아웃백(3세대)
2006 폰티악 몬타나
2006 스바루 레거시(4세대)
2006 스바루 임프레자(2세대)
2007 미쓰비시 i
2006 미쓰비시 아웃랜더(1세대)
2007 포드 프리스타
2007 미쓰비시 이클립스(4세대)
2007 포드 퓨전(1세대)
2006 스바루 트리베카
2007 포드 프리스타일
2006 스바루 바하
2006 폰티악 G6
2006 미쓰비시 엔데버
2006 마쯔다 마쯔다6
2006 마쯔다 RX-8
2006 미쓰비시 랜서 에볼루션
2006 미쓰비시 랜서
2006 마쯔다 MPV
2006 미쓰비시 몬테로
2006 마쯔다 MX-5
2006 미쓰비시 레이더
2006 미쓰비시 갤랑
2006 마쯔다 트리뷰트
2006 포드 포커스(2세대)
2008 마쯔다 마쯔다5
2007 렉서스 GX(1세대)
2007 벤츠 CL클래스(3세대)
2007 마쯔다 CX-7
2006 렉서스 IS(2세대)
2006 토요타 하이랜더(2세대)
2006 토요타 프리우스(2세대)
2006 BMW M3(3세대)
2006 마쯔다 마쯔다3
2006 포드 익스플로러(4세대)
2007 BMW M6(2세대)
2006 토요타 타코마
2006 토요타 툰드라
2008 포드 머스탱(5세대)
2008 벤츠 C클래스(3세대)
2006 포드 크라운 빅토리아
2007 벤츠 SL클래스(5세대)
2007 아우디 A4(3세대)
2007 BMW 6시리즈(2세대)
2005 현대 클릭
2006 BMW 7시리즈(4세대)
2006 벤츠 CLS클래스(1세대)
2007 BMW 3시리즈(5세대)
2006 캐딜락 에스컬레이드(2세대)
2005 푸조 307
2004 닛산 350Z
2006 혼다 레전드(4세대)
2005 아우디 A6(6세대)
2002 포드 익스페디션
